country_name,country_code,year,gini_ratio,gdp_growth
Hungary,HUN,01/01/2013,31.5,2.096216708
Hungary,HUN,01/01/2014,30.9,4.227733353
Hungary,HUN,01/01/2015,30.4,3.367145175
Hungary,HUN,01/01/2016,..,2.21318749
Iceland,ISL,01/01/2002,..,0.550504962
Iceland,ISL,01/01/2003,26.8,2.356712932
Iceland,ISL,01/01/2004,28,8.074288685
Iceland,ISL,01/01/2005,29,6.390526475
Iceland,ISL,01/01/2006,30.2,5.017187436
Iceland,ISL,01/01/2007,29.5,9.428280616
Iceland,ISL,01/01/2008,31.8,1.658913746
Iceland,ISL,01/01/2009,28.7,-6.50525442
Iceland,ISL,01/01/2010,26.2,-3.605636983
Iceland,ISL,01/01/2011,26.8,1.963023975
Iceland,ISL,01/01/2012,26.8,1.319260091
Iceland,ISL,01/01/2013,25.4,4.30813787
Iceland,ISL,01/01/2014,27.8,2.200346891
Iceland,ISL,01/01/2015,..,4.311317806
Iceland,ISL,01/01/2016,..,7.481450239
Ireland,IRL,01/01/2002,..,6.309274147
Ireland,IRL,01/01/2003,32.9,3.119509103
Ireland,IRL,01/01/2004,33.6,6.681227602
Ireland,IRL,01/01/2005,33.7,6.006383302
Ireland,IRL,01/01/2006,32.7,5.521667081
Ireland,IRL,01/01/2007,31.9,5.208716386
Ireland,IRL,01/01/2008,30.9,-3.935929068
Ireland,IRL,01/01/2009,32.7,-4.626771598
Ireland,IRL,01/01/2010,32.3,1.801679033
Ireland,IRL,01/01/2011,32.9,2.98490774
Ireland,IRL,01/01/2012,33.2,0.037154753
Ireland,IRL,01/01/2013,33.5,1.638845003
Ireland,IRL,01/01/2014,31.9,8.328379309
Ireland,IRL,01/01/2015,31.8,25.55726885
Ireland,IRL,01/01/2016,..,5.141460154
Israel,ISR,01/01/2002,..,0.161829705
Israel,ISR,01/01/2003,..,0.767566116
Israel,ISR,01/01/2004,..,4.569715342
Israel,ISR,01/01/2005,41.7,4.13344637
Israel,ISR,01/01/2006,..,5.210821256
Israel,ISR,01/01/2007,41,5.773553319
Israel,ISR,01/01/2008,..,2.988395449
Israel,ISR,01/01/2009,..,1.38160711
Israel,ISR,01/01/2010,42.6,5.223903929
Israel,ISR,01/01/2011,..,4.65783121
Israel,ISR,01/01/2012,41.4,1.942507688
Israel,ISR,01/01/2013,..,4.111155206
Israel,ISR,01/01/2014,..,3.410136515
Israel,ISR,01/01/2015,..,3.037943899
Israel,ISR,01/01/2016,..,4.094335591
Italy,ITA,01/01/2002,..,0.24854744
Italy,ITA,01/01/2003,34.9,0.151318188
Italy,ITA,01/01/2004,34.3,1.581938861
Italy,ITA,01/01/2005,33.8,0.949666258
Italy,ITA,01/01/2006,33.7,2.006586655
Italy,ITA,01/01/2007,32.9,1.473868547
Italy,ITA,01/01/2008,33.8,-1.050402835
Italy,ITA,01/01/2009,33.8,-5.48205504
Italy,ITA,01/01/2010,34.7,1.686523403
Italy,ITA,01/01/2011,35.1,0.576623022
Italy,ITA,01/01/2012,35.2,-2.819013779
Italy,ITA,01/01/2013,34.9,-1.728160802
Italy,ITA,01/01/2014,34.7,0.113673238
Italy,ITA,01/01/2015,35.4,0.951958872
Italy,ITA,01/01/2016,..,0.85826263
Japan,JPN,01/01/2002,..,0.117992777
Japan,JPN,01/01/2003,..,1.528220148
Japan,JPN,01/01/2004,..,2.204687882
Japan,JPN,01/01/2005,..,1.662670405
Japan,JPN,01/01/2006,..,1.420006556
Japan,JPN,01/01/2007,..,1.654183881
Japan,JPN,01/01/2008,32.1,-1.0935406
Japan,JPN,01/01/2009,..,-5.416412797
Japan,JPN,01/01/2010,..,4.191739259
Japan,JPN,01/01/2011,..,-0.11542134
Japan,JPN,01/01/2012,..,1.495089586
Japan,JPN,01/01/2013,..,2.000267841
Japan,JPN,01/01/2014,..,0.374719476
Japan,JPN,01/01/2015,..,1.353823114
Japan,JPN,01/01/2016,..,0.938193886
Rep. Korea,KOR,01/01/2002,..,7.432433614
Rep. Korea,KOR,01/01/2003,..,2.933217902
Rep. Korea,KOR,01/01/2004,..,4.89984045
Rep. Korea,KOR,01/01/2005,..,3.923677392
Rep. Korea,KOR,01/01/2006,31.7,5.176153818
Rep. Korea,KOR,01/01/2007,..,5.463396393
Rep. Korea,KOR,01/01/2008,32.3,2.829223173
Rep. Korea,KOR,01/01/2009,..,0.707509946
Rep. Korea,KOR,01/01/2010,32,6.496793586
Rep. Korea,KOR,01/01/2011,..,3.681688569
Rep. Korea,KOR,01/01/2012,31.6,2.292397846
Rep. Korea,KOR,01/01/2013,..,2.896204935
Rep. Korea,KOR,01/01/2014,..,3.341447761
Rep. Korea,KOR,01/01/2015,..,2.790236167
Rep. Korea,KOR,01/01/2016,..,2.929304795
Latvia,LVA,01/01/2002,..,7.103029906
Latvia,LVA,01/01/2003,..,8.430691218
Latvia,LVA,01/01/2004,36.4,8.3355468
Latvia,LVA,01/01/2005,39,10.69703706
Latvia,LVA,01/01/2006,35.6,11.88938537
Latvia,LVA,01/01/2007,37.5,9.97926933
Latvia,LVA,01/01/2008,37.2,-3.547644225
Latvia,LVA,01/01/2009,35.9,-14.40169178
Latvia,LVA,01/01/2010,35,-3.940670306
Latvia,LVA,01/01/2011,35.8,6.381021259
Latvia,LVA,01/01/2012,35.2,4.034628375
Latvia,LVA,01/01/2013,35.5,2.429851208
Latvia,LVA,01/01/2014,35.1,1.858243652
Latvia,LVA,01/01/2015,34.2,2.971703832
Latvia,LVA,01/01/2016,..,2.208819298
Lithuania,LTU,01/01/2002,..,6.760749533
Lithuania,LTU,01/01/2003,..,10.53856477
Lithuania,LTU,01/01/2004,37,6.550083027
Lithuania,LTU,01/01/2005,35.3,7.727407918
Lithuania,LTU,01/01/2006,34.4,7.406444355
Lithuania,LTU,01/01/2007,34.8,11.08695439
Lithuania,LTU,01/01/2008,35.7,2.628077961
Lithuania,LTU,01/01/2009,37.2,-14.81416332
Lithuania,LTU,01/01/2010,33.6,1.639819649
Lithuania,LTU,01/01/2011,32.5,6.043130715
Lithuania,LTU,01/01/2012,35.1,3.82695401
Lithuania,LTU,01/01/2013,35.3,3.49858087
Lithuania,LTU,01/01/2014,37.7,3.537585824
Lithuania,LTU,01/01/2015,37.4,2.034648974
Lithuania,LTU,01/01/2016,..,2.344880739
Luxembourg,LUX,01/01/2002,..,3.819469797
Luxembourg,LUX,01/01/2003,30.2,1.62928705
Luxembourg,LUX,01/01/2004,30.2,3.612176707
Luxembourg,LUX,01/01/2005,30.8,3.172442733
Luxembourg,LUX,01/01/2006,30.9,5.178485966
Luxembourg,LUX,01/01/2007,31.1,8.354553209
Luxembourg,LUX,01/01/2008,32.6,-1.279585572
Luxembourg,LUX,01/01/2009,31.2,-4.358607005
Luxembourg,LUX,01/01/2010,30.5,4.86496856
Luxembourg,LUX,01/01/2011,32.1,2.539234839
Luxembourg,LUX,01/01/2012,34.3,-0.35251936
Luxembourg,LUX,01/01/2013,32,3.654370385
Luxembourg,LUX,01/01/2014,31.2,5.771915882
Luxembourg,LUX,01/01/2015,33.8,2.861674636
Luxembourg,LUX,01/01/2016,..,3.082643316
Mexico,MEX,01/01/2002,49,-0.039844481
Mexico,MEX,01/01/2003,..,1.446382684
Mexico,MEX,01/01/2004,48.3,3.92059081
Mexico,MEX,01/01/2005,48.9,2.307807066
Mexico,MEX,01/01/2006,47.7,4.495077894
Mexico,MEX,01/01/2007,..,2.291445721
Mexico,MEX,01/01/2008,44.6,1.14358458
Mexico,MEX,01/01/2009,..,-5.285744137
Mexico,MEX,01/01/2010,45.3,5.118118143
Mexico,MEX,01/01/2011,..,3.66300793
Mexico,MEX,01/01/2012,45.4,3.642322679
Mexico,MEX,01/01/2013,..,1.354091962
Mexico,MEX,01/01/2014,45.8,2.845283745
Mexico,MEX,01/01/2015,..,3.270472129
Mexico,MEX,01/01/2016,43.4,2.913328277
Netherlands,NLD,01/01/2002,..,0.103629981
Netherlands,NLD,01/01/2003,..,0.283922581
Netherlands,NLD,01/01/2004,29.8,2.030706315
Netherlands,NLD,01/01/2005,29,2.160366002
Netherlands,NLD,01/01/2006,30,3.518636961
Netherlands,NLD,01/01/2007,29.6,3.698473106
Netherlands,NLD,01/01/2008,29.3,1.699060778
Netherlands,NLD,01/01/2009,27.9,-3.767583537
Netherlands,NLD,01/01/2010,27.8,1.402662177
Netherlands,NLD,01/01/2011,27.7,1.663626344
