country;iso3;region;date;gdp_pc;rol_index;pop;epi
Bolivia;BOL;Americas;01/01/2014;8796.5;0.39;10916987;50.48
Belgium;BEL;Europe;01/01/2014;58028.55;0.76;11209057;66.61
Belarus;BLR;Europe;01/01/2014;26564.43;0.51;9448515;67.69
Bangladesh;BGD;Asia;01/01/2014;5133.76;0.39;155961299;25.61
Austria;AUT;Europe;01/01/2014;62378.97;0.82;8546356;78.32
Australia;AUS;Oceania;01/01/2014;54610.39;0.8;23475686;82.4
Argentina;ARG;Americas;01/01/2014;28442.25;0.5;42669500;49.55
Albania;ALB;Europe;01/01/2014;12909.24;0.49;2889104;54.73
Zimbabwe;ZWE;Africa;01/01/2016;3541.88;0.37;14452704;59.25
Zambia;ZMB;Africa;01/01/2016;3629.64;0.48;16767761;66.06
Viet Nam;VNM;Asia;01/01/2016;9834.59;0.51;93126529;58.5
Uzbekistan;UZB;Asia;01/01/2016;6972.94;0.46;31847900;63.67
Uruguay;URY;Americas;01/01/2016;29130.61;0.73;3413766;73.98
United States;USA;Americas;01/01/2016;65300;0.74;323071755;84.72
United Kingdom;GBR;Europe;01/01/2016;52372.48;0.81;65611593;87.38
United Arab Emirates;ARE;Asia;01/01/2016;70109.73;0.66;8994263;69.35
Ukraine;UKR;Europe;01/01/2016;16071.81;0.49;45038236;79.69
Uganda;UGA;Africa;01/01/2016;2557.58;0.39;38748299;57.56
Turkiye;TUR;Asia;01/01/2016;26497.14;0.44;79277962;67.68
Tunisia;TUN;Africa;01/01/2016;12519.78;0.53;11685667;77.28
Thailand;THA;Asia;01/01/2016;19439.27;0.52;70607037;69.54
Tanzania;TZA;Africa;01/01/2016;3180.11;0.47;54401802;58.34
Sweden;SWE;Europe;01/01/2016;60068.31;0.86;9923085;90.43
Sri Lanka;LKA;Asia;01/01/2016;13705.71;0.51;21425494;65.55
Spain;ESP;Europe;01/01/2016;43823.45;0.7;46484062;88.91
South Africa;ZAF;Africa;01/01/2016;14710.73;0.59;56422274;70.52
Slovenia;SVN;Europe;01/01/2016;40413.05;0.68;2065042;88.98
Singapore;SGP;Asia;01/01/2016;110927.69;0.82;5607283;87.04
Sierra Leone;SLE;Africa;01/01/2016;1582.38;0.45;7493913;45.98
Senegal;SEN;Africa;01/01/2016;3781.27;0.58;14751356;63.73
Russian Federation;RUS;Europe;01/01/2016;35361.55;0.46;145015460;83.52
Romania;ROU;Europe;01/01/2016;30377.53;0.66;19702267;83.24
Portugal;PRT;Europe;01/01/2016;36720.39;0.72;10325452;88.63
Poland;POL;Europe;01/01/2016;32997.6;0.72;37970087;81.26
Philippines;PHL;Asia;01/01/2016;8276.08;0.51;104875266;73.7
Peru;PER;Americas;01/01/2016;14792.49;0.52;31132779;72.95
Panama;PAN;Americas;01/01/2016;30961.83;0.53;4026336;78
Pakistan;PAK;Asia;01/01/2016;5037.98;0.39;213524840;51.42
Norway;NOR;Europe;01/01/2016;86004.54;0.88;5234519;86.9
North Macedonia;MKD;Europe;01/01/2016;20029.28;0.55;1906313;78.02
Nigeria;NGA;Africa;01/01/2016;5950.9;0.44;188666931;58.27
Nicaragua;NIC;Americas;01/01/2016;6926.06;0.42;6389235;64.19
New Zealand;NZL;Oceania;01/01/2016;45822.71;0.83;4714100;88
Netherlands;NLD;Europe;01/01/2016;63576.48;0.86;17030314;82.03
Nepal;NPL;Asia;01/01/2016;3756.41;0.52;27861186;50.21
Morocco;MAR;Africa;01/01/2016;8119.81;0.53;35107264;74.18
Mongolia;MNG;Asia;01/01/2016;14170.19;0.54;3029555;64.39
Moldova;MDA;Europe;01/01/2016;12377.37;0.5;2803186;76.69
Mexico;MEX;Americas;01/01/2016;22008;0.46;121519221;73.59
Malaysia;MYS;Asia;01/01/2016;28671.31;0.54;31526418;74.23
Malawi;MWI;Africa;01/01/2016;1666.11;0.51;17405624;49.69
Madagascar;MDG;Africa;01/01/2016;1693.47;0.46;25501941;37.1
Liberia;LBR;Africa;01/01/2016;1670.7;0.45;4706097;43.42
Lebanon;LBN;Asia;01/01/2016;15732.7;0.46;6258619;69.14
Kyrgyz Republic;KGZ;Asia;01/01/2016;5805.1;0.47;6079500;73.13
Kenya;KEN;Africa;01/01/2016;4794.71;0.43;47894670;62.49
Kazakhstan;KAZ;Asia;01/01/2016;31742.82;0.51;17794055;73.29
Jordan;JOR;Asia;01/01/2016;9360.93;0.59;9964656;72.24
Japan;JPN;Asia;01/01/2016;43976.27;0.78;127076000;80.59
Jamaica;JAM;Americas;01/01/2016;9912.02;0.58;2802695;77.02
Italy;ITA;Europe;01/01/2016;47880.94;0.65;60627498;84.48
Indonesia;IDN;Asia;01/01/2016;11439.72;0.52;261850182;65.85
India;IND;Asia;01/01/2016;6968.15;0.52;1338636340;53.58
