country,iso3,region,date, gdp_pc , rol_index , pop 
Estonia,EST,Europe,20140101, 35,466 , 0.7646 , 1,314,545 
El Salvador,SLV,Americas,20140101, 9,381 , 0.4847 , 6,209,526 
Ecuador,ECU,Americas,20140101, 14,115 , 0.4503 , 15,957,994 
Dominican Republic,DOM,Americas,20140101, 16,872 , 0.4737 , 10,282,115 
Denmark,DNK,Europe,20140101, 61,852 , 0.8755 , 5,643,475 
Czechia,CZE,Europe,20140101, 40,863 , 0.6749 , 10,525,347 
Croatia,HRV,Europe,20140101, 28,154 , 0.5739 , 4,238,389 
Cote d'Ivoire,CIV,Africa,20140101, 5,234 , 0.4551 , 22,995,555 
Colombia,COL,Americas,20140101, 16,740 , 0.4933 , 46,677,947 
China,CHN,Asia,20140101, 13,697 , 0.4524 , 1,371,860,000 
Chile,CHL,Americas,20140101, 27,790 , 0.6800 , 17,687,108 
Canada,CAN,Americas,20140101, 54,881 , 0.7840 , 35,434,066 
Cameroon,CMR,Africa,20140101, 4,537 , 0.3858 , 22,299,585 
Cambodia,KHM,Asia,20140101, 3,622 , 0.4028 , 15,210,817 
Burkina Faso,BFA,Africa,20140101, 2,084 , 0.5065 , 18,169,842 
Bulgaria,BGR,Europe,20140101, 23,155 , 0.5336 , 7,223,938 
Brazil,BRA,Americas,20140101, 18,865 , 0.5446 , 203,459,650 
Botswana,BWA,Africa,20140101, 16,386 , 0.6671 , 2,260,376 
Bosnia and Herzegovina,BIH,Europe,20140101, 13,621 , 0.5543 , 3,571,068 
Bolivia,BOL,Americas,20140101, 8,796 , 0.3900 , 10,916,987 
Belgium,BEL,Europe,20140101, 58,029 , 0.7552 , 11,209,057 
Belarus,BLR,Europe,20140101, 26,564 , 0.5096 , 9,448,515 
Bangladesh,BGD,Asia,20140101, 5,134 , 0.3926 , 155,961,299 
Austria,AUT,Europe,20140101, 62,379 , 0.8245 , 8,546,356 
Australia,AUS,Oceania,20140101, 54,610 , 0.8015 , 23,475,686 
Argentina,ARG,Americas,20140101, 28,442 , 0.5031 , 42,669,500 
Albania,ALB,Europe,20140101, 12,909 , 0.4853 , 2,889,104 
Afghanistan,AFG,Asia,20140101, 3,025 , 0.3372 , 32,716,210 
Zimbabwe,ZWE,Africa,20150101, 3,584 , 0.3750 , 14,154,937 
Zambia,ZMB,Africa,20150101, 3,610 , 0.4668 , 16,248,230 
Viet Nam,VNM,Asia,20150101, 9,311 , 0.4853 , 92,191,398 
Uzbekistan,UZB,Asia,20150101, 6,698 , 0.4563 , 31,298,900 
Uruguay,URY,Americas,20150101, 28,739 , 0.7271 , 3,402,818 
United States,USA,Americas,20150101, 64,600 , 0.7368 , 320,738,994 
United Kingdom,GBR,Europe,20150101, 51,776 , 0.8000 , 65,116,219 
United Arab Emirates,ARE,Asia,20150101, 66,992 , 0.6520 , 8,916,899 
Ukraine,UKR,Europe,20150101, 15,626 , 0.4736 , 45,167,350 
Uganda,UGA,Africa,20150101, 2,524 , 0.4048 , 37,477,356 
Turkiye,TUR,Asia,20150101, 25,992 , 0.4649 , 78,218,479 
Tunisia,TUN,Africa,20150101, 12,518 , 0.5568 , 11,557,779 
Thailand,THA,Asia,20150101, 18,877 , 0.5174 , 70,294,397 
Tanzania,TZA,Africa,20150101, 3,081 , 0.4787 , 52,542,823 
Sweden,SWE,Europe,20150101, 59,594 , 0.8661 , 9,799,186 
Sri Lanka,LKA,Asia,20150101, 13,101 , 0.5019 , 21,336,697 
Spain,ESP,Europe,20150101, 42,567 , 0.6977 , 46,444,832 
South Africa,ZAF,Africa,20150101, 14,756 , 0.5775 , 55,876,504 
Slovenia,SVN,Europe,20150101, 39,192 , 0.6683 , 2,063,531 
Singapore,SGP,Asia,20150101, 108,483 , 0.8184 , 5,535,002 
Sierra Leone,SLE,Africa,20150101, 1,524 , 0.4359 , 7,314,773 
Senegal,SEN,Africa,20150101, 3,653 , 0.5677 , 14,356,181 
Russian Federation,RUS,Europe,20150101, 35,394 , 0.4740 , 144,640,716 
Romania,ROU,Europe,20150101, 29,365 , 0.6379 , 19,815,616 
Portugal,PRT,Europe,20150101, 35,880 , 0.7136 , 10,358,076 
Poland,POL,Europe,20150101, 32,037 , 0.7216 , 37,986,412 
Philippines,PHL,Asia,20150101, 7,862 , 0.5199 , 103,031,365 
Peru,PER,Americas,20150101, 14,425 , 0.5059 , 30,711,863 
Panama,PAN,Americas,20150101, 30,017 , 0.5299 , 3,957,099 
Pakistan,PAK,Asia,20150101, 4,784 , 0.3846 , 210,969,298 
Norway,NOR,Europe,20150101, 85,767 , 0.8832 , 5,188,607 
North Macedonia,MKD,Europe,20150101, 19,412 , 0.5495 , 1,912,430 
Nigeria,NGA,Africa,20150101, 6,202 , 0.4225 , 183,995,785 
Nicaragua,NIC,Americas,20150101, 6,719 , 0.4191 , 6,298,598 
